Frequency - Spectrum Data,Amplitude - Spectrum Data,Frequency - Lorentzian Fit,Amplitude - Lorentzian Fit
59993.8,-50.324,59993.8,-52.2729
59995.3,-50.3483,59995.3,-52.2722
59996.9,-50.3863,59996.9,-52.2715
59998.4,-50.4358,59998.4,-52.2708
60000,-50.493,60000,-52.2702
60001.6,-50.5534,60001.6,-52.2695
60003.1,-50.6121,60003.1,-52.2688
60004.7,-50.6647,60004.7,-52.2681
60006.2,-50.708,60006.2,-52.2674
60007.8,-50.7393,60007.8,-52.2668
60009.4,-50.7573,60009.4,-52.2661
60010.9,-50.7616,60010.9,-52.2654
60012.5,-50.7524,60012.5,-52.2647
60014.1,-50.7314,60014.1,-52.2641
60015.6,-50.7009,60015.6,-52.2634
60017.2,-50.6636,60017.2,-52.2627
60018.8,-50.6224,60018.8,-52.262
60020.3,-50.5799,60020.3,-52.2614
60021.9,-50.5387,60021.9,-52.2607
60023.4,-50.5007,60023.4,-52.26
60025,-50.4667,60025,-52.2593
60026.6,-50.4368,60026.6,-52.2586
60028.1,-50.4104,60028.1,-52.258
60029.7,-50.3864,60029.7,-52.2573
60031.2,-50.3636,60031.2,-52.2566
60032.8,-50.341,60032.8,-52.2559
60034.4,-50.318,60034.4,-52.2553
60035.9,-50.2946,60035.9,-52.2546
60037.5,-50.2716,60037.5,-52.2539
60039.1,-50.2505,60039.1,-52.2532
60040.6,-50.233,60040.6,-52.2525
60042.2,-50.2207,60042.2,-52.2519
60043.8,-50.2149,60043.8,-52.2512
60045.3,-50.2165,60045.3,-52.2505
60046.9,-50.2259,60046.9,-52.2498
60048.4,-50.2428,60048.4,-52.2492
60050,-50.2665,60050,-52.2485
60051.6,-50.296,60051.6,-52.2478
60053.1,-50.3305,60053.1,-52.2471
60054.7,-50.3686,60054.7,-52.2464
60056.2,-50.4097,60056.2,-52.2458
60057.8,-50.4524,60057.8,-52.2451
60059.4,-50.4956,60059.4,-52.2444
60060.9,-50.5383,60060.9,-52.2437
60062.5,-50.5795,60062.5,-52.2431
60064.1,-50.6183,60064.1,-52.2424
60065.6,-50.653,60065.6,-52.2417
60067.2,-50.6819,60067.2,-52.241
60068.8,-50.7034,60068.8,-52.2403
60070.3,-50.7155,60070.3,-52.2397
60071.9,-50.7171,60071.9,-52.239
60073.4,-50.7077,60073.4,-52.2383
60075,-50.6876,60075,-52.2376
60076.6,-50.6577,60076.6,-52.2369
60078.1,-50.6202,60078.1,-52.2363
60079.7,-50.5776,60079.7,-52.2356
60081.2,-50.5329,60081.2,-52.2349
60082.8,-50.4887,60082.8,-52.2342
60084.4,-50.4477,60084.4,-52.2336
60085.9,-50.4121,60085.9,-52.2329
60087.5,-50.3838,60087.5,-52.2322
60089.1,-50.3637,60089.1,-52.2315
60090.6,-50.3524,60090.6,-52.2308
60092.2,-50.3498,60092.2,-52.2302
60093.8,-50.3554,60093.8,-52.2295
60095.3,-50.3679,60095.3,-52.2288
60096.9,-50.3857,60096.9,-52.2281
60098.4,-50.4071,60098.4,-52.2274
60100,-50.43,60100,-52.2268
60101.6,-50.4519,60101.6,-52.2261
60103.1,-50.4708,60103.1,-52.2254
60104.7,-50.4845,60104.7,-52.2247
60106.2,-50.4914,60106.2,-52.224
60107.8,-50.491,60107.8,-52.2234
60109.4,-50.4836,60109.4,-52.2227
60110.9,-50.4706,60110.9,-52.222
60112.5,-50.4548,60112.5,-52.2213
60114.1,-50.4388,60114.1,-52.2206
60115.6,-50.4257,60115.6,-52.22
60117.2,-50.4184,60117.2,-52.2193
60118.8,-50.4195,60118.8,-52.2186
60120.3,-50.431,60120.3,-52.2179
60121.9,-50.454,60121.9,-52.2172
60123.4,-50.4879,60123.4,-52.2166
60125,-50.5319,60125,-52.2159
60126.6,-50.5838,60126.6,-52.2152
60128.1,-50.64,60128.1,-52.2145
60129.7,-50.6958,60129.7,-52.2138
60131.2,-50.7461,60131.2,-52.2132
60132.8,-50.7855,60132.8,-52.2125
60134.4,-50.8102,60134.4,-52.2118
60135.9,-50.8174,60135.9,-52.2111
60137.5,-50.8066,60137.5,-52.2104
60139.1,-50.779,60139.1,-52.2097
60140.6,-50.7381,60140.6,-52.2091
60142.2,-50.6885,60142.2,-52.2084
60143.8,-50.635,60143.8,-52.2077
60145.3,-50.5821,60145.3,-52.207
60146.9,-50.5328,60146.9,-52.2063
60148.4,-50.4892,60148.4,-52.2057
60150,-50.4518,60150,-52.205
60151.6,-50.4198,60151.6,-52.2043
60153.1,-50.3912,60153.1,-52.2036
60154.7,-50.365,60154.7,-52.2029
60156.2,-50.34,60156.2,-52.2023
60157.8,-50.316,60157.8,-52.2016
60159.4,-50.2932,60159.4,-52.2009
60160.9,-50.2722,60160.9,-52.2002
60162.5,-50.2535,60162.5,-52.1995
60164.1,-50.2373,60164.1,-52.1988
60165.6,-50.2234,60165.6,-52.1982
60167.2,-50.2111,60167.2,-52.1975
60168.8,-50.1995,60168.8,-52.1968
60170.3,-50.1873,60170.3,-52.1961
60171.9,-50.1736,60171.9,-52.1954
60173.4,-50.1587,60173.4,-52.1948
60175,-50.1435,60175,-52.1941
60176.6,-50.1302,60176.6,-52.1934
60178.1,-50.1213,60178.1,-52.1927
60179.7,-50.1191,60179.7,-52.192
60181.2,-50.1245,60181.2,-52.1913
60182.8,-50.1374,60182.8,-52.1907
60184.4,-50.1573,60184.4,-52.19
60185.9,-50.1828,60185.9,-52.1893
60187.5,-50.2112,60187.5,-52.1886
60189.1,-50.2396,60189.1,-52.1879
60190.6,-50.2654,60190.6,-52.1872
60192.2,-50.287,60192.2,-52.1866
60193.8,-50.3045,60193.8,-52.1859
60195.3,-50.3194,60195.3,-52.1852
60196.9,-50.3341,60196.9,-52.1845
60198.4,-50.3513,60198.4,-52.1838
60200,-50.374,60200,-52.1831
60201.6,-50.4046,60201.6,-52.1825
60203.1,-50.4452,60203.1,-52.1818
60204.7,-50.4962,60204.7,-52.1811
60206.2,-50.557,60206.2,-52.1804
60207.8,-50.6259,60207.8,-52.1797
60209.4,-50.6999,60209.4,-52.179
60210.9,-50.775,60210.9,-52.1784
60212.5,-50.8472,60212.5,-52.1777
60214.1,-50.9123,60214.1,-52.177
60215.6,-50.9669,60215.6,-52.1763
60217.2,-51.0085,60217.2,-52.1756
60218.8,-51.0363,60218.8,-52.1749
60220.3,-51.051,60220.3,-52.1743
60221.9,-51.0545,60221.9,-52.1736
60223.4,-51.0495,60223.4,-52.1729
60225,-51.0392,60225,-52.1722
60226.6,-51.0264,60226.6,-52.1715
60228.1,-51.0126,60228.1,-52.1708
60229.7,-50.9985,60229.7,-52.1702
60231.2,-50.984,60231.2,-52.1695
60232.8,-50.968,60232.8,-52.1688
60234.4,-50.9483,60234.4,-52.1681
60235.9,-50.9227,60235.9,-52.1674
60237.5,-50.8892,60237.5,-52.1667
60239.1,-50.8464,60239.1,-52.1661
60240.6,-50.7947,60240.6,-52.1654
60242.2,-50.7355,60242.2,-52.1647
60243.8,-50.6713,60243.8,-52.164
60245.3,-50.6054,60245.3,-52.1633
60246.9,-50.5419,60246.9,-52.1626
60248.4,-50.4853,60248.4,-52.1619
60250,-50.4394,60250,-52.1613
60251.6,-50.4077,60251.6,-52.1606
60253.1,-50.3921,60253.1,-52.1599
60254.7,-50.3935,60254.7,-52.1592
60256.2,-50.4113,60256.2,-52.1585
60257.8,-50.4433,60257.8,-52.1578
60259.4,-50.4862,60259.4,-52.1572
60260.9,-50.5357,60260.9,-52.1565
60262.5,-50.5869,60262.5,-52.1558
60264.1,-50.6345,60264.1,-52.1551
60265.6,-50.6735,60265.6,-52.1544
60267.2,-50.7,60267.2,-52.1537
60268.8,-50.7117,60268.8,-52.153
60270.3,-50.7073,60270.3,-52.1524
60271.9,-50.6873,60271.9,-52.1517
60273.4,-50.653,60273.4,-52.151
60275,-50.6069,60275,-52.1503
60276.6,-50.5523,60276.6,-52.1496
60278.1,-50.493,60278.1,-52.1489
60279.7,-50.4326,60279.7,-52.1482
60281.2,-50.3741,60281.2,-52.1476
60282.8,-50.3197,60282.8,-52.1469
60284.4,-50.2712,60284.4,-52.1462
60285.9,-50.2297,60285.9,-52.1455
60287.5,-50.1963,60287.5,-52.1448
60289.1,-50.1717,60289.1,-52.1441
60290.6,-50.1566,60290.6,-52.1434
60292.2,-50.1513,60292.2,-52.1427
60293.8,-50.1561,60293.8,-52.1421
60295.3,-50.1709,60295.3,-52.1414
60296.9,-50.1951,60296.9,-52.1407
60298.4,-50.2276,60298.4,-52.14
60300,-50.2668,60300,-52.1393
60301.6,-50.3104,60301.6,-52.1386
60303.1,-50.3546,60303.1,-52.1379
60304.7,-50.3958,60304.7,-52.1373
60306.2,-50.4305,60306.2,-52.1366
60307.8,-50.4556,60307.8,-52.1359
60309.4,-50.4689,60309.4,-52.1352
60310.9,-50.4697,60310.9,-52.1345
60312.5,-50.4587,60312.5,-52.1338
60314.1,-50.4374,60314.1,-52.1331
60315.6,-50.408,60315.6,-52.1324
60317.2,-50.3737,60317.2,-52.1318
60318.8,-50.3371,60318.8,-52.1311
60320.3,-50.3006,60320.3,-52.1304
60321.9,-50.2662,60321.9,-52.1297
60323.4,-50.2354,60323.4,-52.129
60325,-50.2087,60325,-52.1283
60326.6,-50.1864,60326.6,-52.1276
60328.1,-50.1686,60328.1,-52.127
60329.7,-50.1548,60329.7,-52.1263
60331.2,-50.1443,60331.2,-52.1256
60332.8,-50.1368,60332.8,-52.1249
60334.4,-50.1321,60334.4,-52.1242
60335.9,-50.13,60335.9,-52.1235
60337.5,-50.1304,60337.5,-52.1228
60339.1,-50.1332,60339.1,-52.1221
60340.6,-50.1385,60340.6,-52.1214
60342.2,-50.1458,60342.2,-52.1208
60343.8,-50.1541,60343.8,-52.1201
60345.3,-50.1625,60345.3,-52.1194
60346.9,-50.1698,60346.9,-52.1187
60348.4,-50.1746,60348.4,-52.118
60350,-50.1755,60350,-52.1173
60351.6,-50.1717,60351.6,-52.1166
60353.1,-50.1631,60353.1,-52.1159
60354.7,-50.1499,60354.7,-52.1153
60356.2,-50.1332,60356.2,-52.1146
60357.8,-50.1149,60357.8,-52.1139
60359.4,-50.0975,60359.4,-52.1132
60360.9,-50.0831,60360.9,-52.1125
60362.5,-50.0733,60362.5,-52.1118
60364.1,-50.069,60364.1,-52.1111
60365.6,-50.0702,60365.6,-52.1104
60367.2,-50.0753,60367.2,-52.1097
60368.8,-50.0821,60368.8,-52.1091
60370.3,-50.0878,60370.3,-52.1084
60371.9,-50.0895,60371.9,-52.1077
60373.4,-50.0848,60373.4,-52.107
60375,-50.072,60375,-52.1063
60376.6,-50.0513,60376.6,-52.1056
60378.1,-50.024,60378.1,-52.1049
60379.7,-49.9927,60379.7,-52.1042
60381.2,-49.9608,60381.2,-52.1035
60382.8,-49.9314,60382.8,-52.1029
60384.4,-49.9069,60384.4,-52.1022
60385.9,-49.888,60385.9,-52.1015
60387.5,-49.8745,60387.5,-52.1008
60389.1,-49.8651,60389.1,-52.1001
60390.6,-49.8578,60390.6,-52.0994
60392.2,-49.8498,60392.2,-52.0987
60393.8,-49.8392,60393.8,-52.098
60395.3,-49.8248,60395.3,-52.0973
60396.9,-49.8061,60396.9,-52.0966
60398.4,-49.7848,60398.4,-52.096
60400,-49.763,60400,-52.0953
60401.6,-49.7436,60401.6,-52.0946
60403.1,-49.7297,60403.1,-52.0939
60404.7,-49.7239,60404.7,-52.0932
60406.2,-49.7276,60406.2,-52.0925
60407.8,-49.7412,60407.8,-52.0918
60409.4,-49.7638,60409.4,-52.0911
60410.9,-49.7938,60410.9,-52.0904
60412.5,-49.8287,60412.5,-52.0897
60414.1,-49.8656,60414.1,-52.0891
60415.6,-49.901,60415.6,-52.0884
60417.2,-49.9317,60417.2,-52.0877
60418.8,-49.9554,60418.8,-52.087
60420.3,-49.9711,60420.3,-52.0863
60421.9,-49.9786,60421.9,-52.0856
60423.4,-49.9787,60423.4,-52.0849
60425,-49.9731,60425,-52.0842
60426.6,-49.9641,60426.6,-52.0835
60428.1,-49.9541,60428.1,-52.0828
60429.7,-49.945,60429.7,-52.0821
60431.2,-49.9375,60431.2,-52.0815
60432.8,-49.9315,60432.8,-52.0808
60434.4,-49.9259,60434.4,-52.0801
60435.9,-49.9194,60435.9,-52.0794
60437.5,-49.9103,60437.5,-52.0787
60439.1,-49.8976,60439.1,-52.078
60440.6,-49.8809,60440.6,-52.0773
60442.2,-49.8607,60442.2,-52.0766
60443.8,-49.8384,60443.8,-52.0759
60445.3,-49.8165,60445.3,-52.0752
60446.9,-49.7978,60446.9,-52.0745
60448.4,-49.7851,60448.4,-52.0738
60450,-49.7807,60450,-52.0732
60451.6,-49.786,60451.6,-52.0725
60453.1,-49.8022,60453.1,-52.0718
60454.7,-49.8297,60454.7,-52.0711
60456.2,-49.8685,60456.2,-52.0704
60457.8,-49.9185,60457.8,-52.0697
60459.4,-49.9793,60459.4,-52.069
60460.9,-50.05,60460.9,-52.0683
60462.5,-50.1296,60462.5,-52.0676
60464.1,-50.216,60464.1,-52.0669
60465.6,-50.3065,60465.6,-52.0662
60467.2,-50.3973,60467.2,-52.0655
60468.8,-50.4831,60468.8,-52.0649
60470.3,-50.5585,60470.3,-52.0642
60471.9,-50.6182,60471.9,-52.0635
60473.4,-50.6576,60473.4,-52.0628
60475,-50.6739,60475,-52.0621
60476.6,-50.6666,60476.6,-52.0614
60478.1,-50.6383,60478.1,-52.0607
60479.7,-50.5938,60479.7,-52.06
60481.2,-50.5394,60481.2,-52.0593
60482.8,-50.4819,60482.8,-52.0586
60484.4,-50.4275,60484.4,-52.0579
60485.9,-50.3814,60485.9,-52.0572
60487.5,-50.3466,60487.5,-52.0565
60489.1,-50.3243,60489.1,-52.0558
60490.6,-50.3134,60490.6,-52.0552
60492.2,-50.3111,60492.2,-52.0545
60493.8,-50.3139,60493.8,-52.0538
60495.3,-50.3176,60495.3,-52.0531
60496.9,-50.3181,60496.9,-52.0524
60498.4,-50.313,60498.4,-52.0517
60500,-50.301,60500,-52.051
60501.6,-50.2825,60501.6,-52.0503
60503.1,-50.2594,60503.1,-52.0496
60504.7,-50.234,60504.7,-52.0489
60506.2,-50.2085,60506.2,-52.0482
60507.8,-50.1844,60507.8,-52.0475
60509.4,-50.1625,60509.4,-52.0468
60510.9,-50.1424,60510.9,-52.0461
60512.5,-50.1225,60512.5,-52.0454
60514.1,-50.1009,60514.1,-52.0447
60515.6,-50.0754,60515.6,-52.0441
60517.2,-50.0445,60517.2,-52.0434
60518.8,-50.0085,60518.8,-52.0427
60520.3,-49.9689,60520.3,-52.042
60521.9,-49.9288,60521.9,-52.0413
60523.4,-49.8922,60523.4,-52.0406
60525,-49.863,60525,-52.0399
60526.6,-49.8439,60526.6,-52.0392
60528.1,-49.8372,60528.1,-52.0385
60529.7,-49.8435,60529.7,-52.0378
60531.2,-49.8622,60531.2,-52.0371
60532.8,-49.891,60532.8,-52.0364
60534.4,-49.9268,60534.4,-52.0357
60535.9,-49.9658,60535.9,-52.035
60537.5,-50.0046,60537.5,-52.0343
60539.1,-50.0403,60539.1,-52.0336
60540.6,-50.0709,60540.6,-52.0329
60542.2,-50.0962,60542.2,-52.0322
60543.8,-50.1171,60543.8,-52.0315
60545.3,-50.1353,60545.3,-52.0309
60546.9,-50.1529,60546.9,-52.0302
60548.4,-50.1722,60548.4,-52.0295
60550,-50.1951,60550,-52.0288
60551.6,-50.2226,60551.6,-52.0281
60553.1,-50.2546,60553.1,-52.0274
60554.7,-50.2906,60554.7,-52.0267
60556.2,-50.3292,60556.2,-52.026
60557.8,-50.3688,60557.8,-52.0253
60559.4,-50.4068,60559.4,-52.0246
60560.9,-50.4405,60560.9,-52.0239
60562.5,-50.4681,60562.5,-52.0232
60564.1,-50.4887,60564.1,-52.0225
60565.6,-50.5018,60565.6,-52.0218
60567.2,-50.508,60567.2,-52.0211
60568.8,-50.5086,60568.8,-52.0204
60570.3,-50.5053,60570.3,-52.0197
60571.9,-50.5,60571.9,-52.019
60573.4,-50.4946,60573.4,-52.0183
60575,-50.4909,60575,-52.0176
60576.6,-50.4898,60576.6,-52.0169
60578.1,-50.4921,60578.1,-52.0162
60579.7,-50.4978,60579.7,-52.0155
60581.2,-50.5062,60581.2,-52.0148
60582.8,-50.5157,60582.8,-52.0142
60584.4,-50.5237,60584.4,-52.0135
60585.9,-50.5269,60585.9,-52.0128
60587.5,-50.522,60587.5,-52.0121
60589.1,-50.5057,60589.1,-52.0114
60590.6,-50.476,60590.6,-52.0107
60592.2,-50.432,60592.2,-52.01
60593.8,-50.3746,60593.8,-52.0093
60595.3,-50.3065,60595.3,-52.0086
60596.9,-50.2317,60596.9,-52.0079
60598.4,-50.1551,60598.4,-52.0072
60600,-50.0819,60600,-52.0065
60601.6,-50.0163,60601.6,-52.0058
60603.1,-49.9616,60603.1,-52.0051
60604.7,-49.9195,60604.7,-52.0044
60606.2,-49.8902,60606.2,-52.0037
60607.8,-49.8723,60607.8,-52.003
60609.4,-49.8641,60609.4,-52.0023
60610.9,-49.8633,60610.9,-52.0016
60612.5,-49.8673,60612.5,-52.0009
60614.1,-49.8734,60614.1,-52.0002
60615.6,-49.8796,60615.6,-51.9995
60617.2,-49.8849,60617.2,-51.9988
60618.8,-49.8889,60618.8,-51.9981
60620.3,-49.8915,60620.3,-51.9974
60621.9,-49.893,60621.9,-51.9967
60623.4,-49.8939,60623.4,-51.996
60625,-49.8947,60625,-51.9953
60626.6,-49.896,60626.6,-51.9946
60628.1,-49.8983,60628.1,-51.9939
60629.7,-49.9021,60629.7,-51.9932
60631.2,-49.9073,60631.2,-51.9925
60632.8,-49.913,60632.8,-51.9918
60634.4,-49.9184,60634.4,-51.9911
60635.9,-49.9234,60635.9,-51.9904
60637.5,-49.9277,60637.5,-51.9897
60639.1,-49.9314,60639.1,-51.989
60640.6,-49.9342,60640.6,-51.9883
60642.2,-49.9357,60642.2,-51.9876
60643.8,-49.936,60643.8,-51.9869
60645.3,-49.9355,60645.3,-51.9862
60646.9,-49.9339,60646.9,-51.9855
60648.4,-49.931,60648.4,-51.9848
60650,-49.9267,60650,-51.9842
60651.6,-49.9203,60651.6,-51.9835
60653.1,-49.9107,60653.1,-51.9828
60654.7,-49.8975,60654.7,-51.9821
60656.2,-49.8805,60656.2,-51.9814
60657.8,-49.8599,60657.8,-51.9807
60659.4,-49.8366,60659.4,-51.98
60660.9,-49.8126,60660.9,-51.9793
60662.5,-49.7903,60662.5,-51.9786
60664.1,-49.7724,60664.1,-51.9779
60665.6,-49.7615,60665.6,-51.9772
60667.2,-49.7602,60667.2,-51.9765
60668.8,-49.7704,60668.8,-51.9758
60670.3,-49.7928,60670.3,-51.9751
60671.9,-49.8266,60671.9,-51.9744
60673.4,-49.8706,60673.4,-51.9737
60675,-49.9221,60675,-51.973
60676.6,-49.9776,60676.6,-51.9723
60678.1,-50.0335,60678.1,-51.9716
60679.7,-50.0865,60679.7,-51.9709
60681.2,-50.1337,60681.2,-51.9702
60682.8,-50.1735,60682.8,-51.9695
60684.4,-50.2051,60684.4,-51.9688
60685.9,-50.2277,60685.9,-51.9681
60687.5,-50.2411,60687.5,-51.9674
60689.1,-50.2445,60689.1,-51.9667
60690.6,-50.2371,60690.6,-51.966
60692.2,-50.2169,60692.2,-51.9653
60693.8,-50.1825,60693.8,-51.9646
60695.3,-50.133,60695.3,-51.9639
60696.9,-50.069,60696.9,-51.9632
60698.4,-49.9926,60698.4,-51.9625
60700,-49.9076,60700,-51.9618
60701.6,-49.8191,60701.6,-51.9611
60703.1,-49.7333,60703.1,-51.9604
60704.7,-49.6567,60704.7,-51.9597
60706.2,-49.5952,60706.2,-51.959
60707.8,-49.5532,60707.8,-51.9583
60709.4,-49.5332,60709.4,-51.9576
60710.9,-49.5364,60710.9,-51.9569
60712.5,-49.5622,60712.5,-51.9561
60714.1,-49.6084,60714.1,-51.9554
60715.6,-49.6718,60715.6,-51.9547
60717.2,-49.7482,60717.2,-51.954
60718.8,-49.8329,60718.8,-51.9533
60720.3,-49.9212,60720.3,-51.9526
60721.9,-50.0091,60721.9,-51.9519
60723.4,-50.0928,60723.4,-51.9512
60725,-50.1686,60725,-51.9505
60726.6,-50.2335,60726.6,-51.9498
60728.1,-50.2847,60728.1,-51.9491
60729.7,-50.3194,60729.7,-51.9484
60731.2,-50.3354,60731.2,-51.9477
60732.8,-50.3308,60732.8,-51.947
60734.4,-50.3041,60734.4,-51.9463
60735.9,-50.2553,60735.9,-51.9456
60737.5,-50.1857,60737.5,-51.9449
60739.1,-50.0986,60739.1,-51.9442
60740.6,-49.9982,60740.6,-51.9435
60742.2,-49.8906,60742.2,-51.9428
60743.8,-49.782,60743.8,-51.9421
60745.3,-49.6787,60745.3,-51.9414
60746.9,-49.5867,60746.9,-51.9407
60748.4,-49.5113,60748.4,-51.94
60750,-49.4564,60750,-51.9393
60751.6,-49.4245,60751.6,-51.9386
60753.1,-49.4161,60753.1,-51.9379
60754.7,-49.4303,60754.7,-51.9372
60756.2,-49.4646,60756.2,-51.9365
60757.8,-49.5156,60757.8,-51.9358
60759.4,-49.5788,60759.4,-51.9351
60760.9,-49.6489,60760.9,-51.9344
60762.5,-49.7205,60762.5,-51.9337
60764.1,-49.7878,60764.1,-51.933
60765.6,-49.8455,60765.6,-51.9323
60767.2,-49.8896,60767.2,-51.9316
60768.8,-49.9176,60768.8,-51.9309
60770.3,-49.929,60770.3,-51.9302
60771.9,-49.925,60771.9,-51.9295
60773.4,-49.9088,60773.4,-51.9288
60775,-49.8845,60775,-51.9281
60776.6,-49.8572,60776.6,-51.9274
60778.1,-49.8319,60778.1,-51.9267
60779.7,-49.8129,60779.7,-51.9259
60781.2,-49.803,60781.2,-51.9252
60782.8,-49.8037,60782.8,-51.9245
60784.4,-49.8154,60784.4,-51.9238
60785.9,-49.8367,60785.9,-51.9231
60787.5,-49.8652,60787.5,-51.9224
60789.1,-49.8975,60789.1,-51.9217
60790.6,-49.9304,60790.6,-51.921
60792.2,-49.9608,60792.2,-51.9203
60793.8,-49.987,60793.8,-51.9196
60795.3,-50.0077,60795.3,-51.9189
60796.9,-50.0224,60796.9,-51.9182
60798.4,-50.0317,60798.4,-51.9175
60800,-50.0362,60800,-51.9168
60801.6,-50.0368,60801.6,-51.9161
60803.1,-50.0336,60803.1,-51.9154
60804.7,-50.0266,60804.7,-51.9147
60806.2,-50.0158,60806.2,-51.914
60807.8,-50.0008,60807.8,-51.9133
60809.4,-49.9806,60809.4,-51.9126
60810.9,-49.9549,60810.9,-51.9119
60812.5,-49.9237,60812.5,-51.9112
60814.1,-49.8879,60814.1,-51.9105
60815.6,-49.8496,60815.6,-51.9097
60817.2,-49.8115,60817.2,-51.909
60818.8,-49.7771,60818.8,-51.9083
60820.3,-49.7496,60820.3,-51.9076
60821.9,-49.732,60821.9,-51.9069
60823.4,-49.7268,60823.4,-51.9062
60825,-49.735,60825,-51.9055
60826.6,-49.7567,60826.6,-51.9048
60828.1,-49.7904,60828.1,-51.9041
60829.7,-49.834,60829.7,-51.9034
60831.2,-49.8841,60831.2,-51.9027
60832.8,-49.937,60832.8,-51.902
60834.4,-49.9877,60834.4,-51.9013
60835.9,-50.0322,60835.9,-51.9006
60837.5,-50.067,60837.5,-51.8999
60839.1,-50.0895,60839.1,-51.8992
60840.6,-50.0984,60840.6,-51.8985
60842.2,-50.0938,60842.2,-51.8978
60843.8,-50.0776,60843.8,-51.8971
60845.3,-50.052,60845.3,-51.8963
60846.9,-50.0201,60846.9,-51.8956
60848.4,-49.9852,60848.4,-51.8949
60850,-49.9503,60850,-51.8942
60851.6,-49.9183,60851.6,-51.8935
60853.1,-49.891,60853.1,-51.8928
60854.7,-49.8698,60854.7,-51.8921
60856.2,-49.8548,60856.2,-51.8914
60857.8,-49.8453,60857.8,-51.8907
60859.4,-49.8404,60859.4,-51.89
60860.9,-49.8393,60860.9,-51.8893
60862.5,-49.8406,60862.5,-51.8886
60864.1,-49.8428,60864.1,-51.8879
60865.6,-49.8446,60865.6,-51.8872
60867.2,-49.8451,60867.2,-51.8865
60868.8,-49.8442,60868.8,-51.8857
60870.3,-49.8421,60870.3,-51.885
60871.9,-49.8393,60871.9,-51.8843
60873.4,-49.8371,60873.4,-51.8836
60875,-49.8369,60875,-51.8829
60876.6,-49.8402,60876.6,-51.8822
60878.1,-49.8477,60878.1,-51.8815
60879.7,-49.8598,60879.7,-51.8808
60881.2,-49.8762,60881.2,-51.8801
60882.8,-49.8962,60882.8,-51.8794
60884.4,-49.9184,60884.4,-51.8787
60885.9,-49.9407,60885.9,-51.878
60887.5,-49.9613,60887.5,-51.8773
60889.1,-49.9788,60889.1,-51.8766
60890.6,-49.9925,60890.6,-51.8758
60892.2,-50.0019,60892.2,-51.8751
60893.8,-50.0076,60893.8,-51.8744
60895.3,-50.011,60895.3,-51.8737
60896.9,-50.0134,60896.9,-51.873
60898.4,-50.0163,60898.4,-51.8723
60900,-50.0217,60900,-51.8716
60901.6,-50.0303,60901.6,-51.8709
60903.1,-50.0427,60903.1,-51.8702
60904.7,-50.0587,60904.7,-51.8695
60906.2,-50.0772,60906.2,-51.8688
60907.8,-50.0963,60907.8,-51.8681
60909.4,-50.1137,60909.4,-51.8674
60910.9,-50.1264,60910.9,-51.8666
60912.5,-50.1318,60912.5,-51.8659
60914.1,-50.1284,60914.1,-51.8652
60915.6,-50.1156,60915.6,-51.8645
60917.2,-50.0942,60917.2,-51.8638
60918.8,-50.0662,60918.8,-51.8631
60920.3,-50.0355,60920.3,-51.8624
60921.9,-50.0064,60921.9,-51.8617
60923.4,-49.9835,60923.4,-51.861
60925,-49.9708,60925,-51.8603
60926.6,-49.9717,60926.6,-51.8596
60928.1,-49.9886,60928.1,-51.8588
60929.7,-50.022,60929.7,-51.8581
60931.2,-50.0704,60931.2,-51.8574
60932.8,-50.131,60932.8,-51.8567
60934.4,-50.2007,60934.4,-51.856
60935.9,-50.2745,60935.9,-51.8553
60937.5,-50.3471,60937.5,-51.8546
60939.1,-50.4127,60939.1,-51.8539
60940.6,-50.4666,60940.6,-51.8532
60942.2,-50.5047,60942.2,-51.8525
60943.8,-50.5242,60943.8,-51.8518
60945.3,-50.5232,60945.3,-51.851
60946.9,-50.5018,60946.9,-51.8503
60948.4,-50.4616,60948.4,-51.8496
60950,-50.4057,60950,-51.8489
60951.6,-50.3382,60951.6,-51.8482
60953.1,-50.264,60953.1,-51.8475
60954.7,-50.1883,60954.7,-51.8468
60956.2,-50.1166,60956.2,-51.8461
60957.8,-50.0537,60957.8,-51.8454
60959.4,-50.0032,60959.4,-51.8447
60960.9,-49.9675,60960.9,-51.8439
60962.5,-49.9475,60962.5,-51.8432
60964.1,-49.9435,60964.1,-51.8425
60965.6,-49.9538,60965.6,-51.8418
60967.2,-49.9759,60967.2,-51.8411
60968.8,-50.0066,60968.8,-51.8404
60970.3,-50.0426,60970.3,-51.8397
60971.9,-50.0813,60971.9,-51.839
60973.4,-50.1208,60973.4,-51.8383
60975,-50.1598,60975,-51.8375
60976.6,-50.1978,60976.6,-51.8368
60978.1,-50.2354,60978.1,-51.8361
60979.7,-50.2732,60979.7,-51.8354
60981.2,-50.3115,60981.2,-51.8347
60982.8,-50.35,60982.8,-51.834
60984.4,-50.3882,60984.4,-51.8333
60985.9,-50.425,60985.9,-51.8326
60987.5,-50.4586,60987.5,-51.8319
60989.1,-50.4869,60989.1,-51.8312
60990.6,-50.5074,60990.6,-51.8304
60992.2,-50.5181,60992.2,-51.8297
60993.8,-50.5167,60993.8,-51.829
60995.3,-50.5021,60995.3,-51.8283
60996.9,-50.4737,60996.9,-51.8276
60998.4,-50.4319,60998.4,-51.8269
61000,-50.3784,61000,-51.8262
61001.6,-50.3158,61001.6,-51.8255
61003.1,-50.2474,61003.1,-51.8247
