0.1666666667	0.2896666667
0.6000000000	0.4550000000
1.0000000000	0.5033333333
2.9666666667	0.5503333333
4.3666666667	0.5896666667
8.8000000000	0.6193333333
12.8666666667	0.6433333333
17.7666666667	0.6616666667
22.5000000000	0.6773333333
25.9000000000	0.6940000000
32.7000000000	0.7090000000
37.1666666667	0.7230000000
43.1666666667	0.7330000000
46.9000000000	0.7446666667
53.1000000000	0.7530000000
58.5000000000	0.7580000000
63.1000000000	0.7670000000
67.6666666667	0.7736666667
71.2333333333	0.7820000000
76.7000000000	0.7870000000
80.9333333333	0.7920000000
85.8333333333	0.7970000000
88.0666666667	0.7986666667
90.8666666667	0.8046666667
93.9000000000	0.8060000000
96.5000000000	0.8093333333
99.9000000000	0.8110000000
101.2000000000	0.8143333333
104.4333333333	0.8160000000
106.1000000000	0.8210000000
110.0000000000	0.8210000000
111.5666666667	0.8243333333
113.7333333333	0.8260000000
116.6333333333	0.8293333333
118.6333333333	0.8310000000
120.5333333333	0.8343333333
122.8333333333	0.8360000000
125.2666666667	0.8360000000
127.3333333333	0.8393333333
129.1666666667	0.8410000000
131.4000000000	0.8410000000
131.4000000000	0.8410000000
